No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
14253;Scorpion Tequila Silver;5376;SÉRFLOKKUR;15;3;3;FL.;700;;470169-1419
14256;d'Arenberg Ironstone Pressings;3967;SÉRPÖNTUN;01;3;2;FL.;750;;570203-3980
14258;Cono Sur Tocornal Cabernet Sauvignon;0;REYNSLA;01;0;2;BOX;3000;;550394-2359
14260;Pearly Bay Cape White;1398;REYNSLA;02;0;2;FL.;750;;420369-7789
14261;Gold Block;1165;T-SÉRPÖNT;91;0;0;STK.;0;;570485-0329
14264;Crocodile Rock;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14268;Graham Beck Family Vineyards Shiraz Cab. Saugv.;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14269;Graham's Tawny 20 ára;7399;REYNSLA;05;1;2;FL.;750;;570169-0339
14271;De Martino Chardonnay Legado;0;REYNSLA;02;0;2;FL.;750;;490104-2160
14272;De Martino Merlot Reserva;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14273;De Martino Syrah Legado;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14275;PKNT Carmenere;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14276;Strozzi Passito di Pantelleria;0;REYNSLA;02;0;2;FL.;500;;490104-2160
14277;Personal Res. Shiraz;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14278;Glengoyne Single Malt;0;REYNSLA;13;0;3;FL.;700;;490104-2160
14279;Kenwood Jack London Cab. Sauv.;0;REYNSLA;01;0;2;FL.;750;;490104-2160
14281;Ölvisholt Freyja;398;SÉRFLOKKUR;62;3;1;FL.;330;;480414-1010
14282;Flor de Crasto;2399;KJARNI;01;3;2;FL.;750;;420178-0349
14288;London Hill Gin;0;REYNSLA;17;0;3;FL.;700;;490104-2160
14289;Cortel Napoleon VSOP;3999;REYNSLA;10;3;3;PET;500;;501117-0210
14290;Hvítvín Toscana IGT Bianco;5390;KJARNI;02;0;2;BOX;3000;;570203-3980
14291;Rauðvín Toscana Sangiovese;5999;REYNSLA;01;0;2;BOX;3000;;570203-3980
14292;Montalto Pinot Grigio;1699;KJARNI;02;1;2;FL.;750;;420369-7789
14293;Barone Montalto Merlot;1699;KJARNI;01;0;2;FL.;750;;420369-7789
14294;Puerto Madero;0;REYNSLA;02;3;2;FL.;750;;530303-2410
